#   Time        Lum_e      <E>_e    <Erms>_e    Lum_eb     <E>_eb    <Erms>_eb   Lum_x       <E>_x    <Erms>_x
#   (sec)     (foes/s)     (MeV)      (MeV)    (foes/s)     (MeV)      (MeV)    (foes/s)     (MeV)      (MeV)

  1.022E-03  9.817E-04  4.629E+00  4.720E+00  1.260E-07  4.702E+00  4.802E+00  1.652E-08  4.714E+00  4.815E+00
  6.250E-03  1.665E-02  5.162E+00  5.311E+00  2.466E-06  4.733E+00  4.841E+00  5.423E-07  4.822E+00  4.940E+00
  1.147E-02  1.617E-02  5.199E+00  5.354E+00  2.075E-06  4.747E+00  4.859E+00  4.208E-07  4.847E+00  4.970E+00
  1.610E-02  1.586E-02  5.210E+00  5.367E+00  1.928E-06  4.757E+00  4.871E+00  3.846E-07  4.859E+00  4.983E+00
  2.107E-02  1.994E-02  5.217E+00  5.375E+00  2.236E-06  4.778E+00  4.894E+00  4.594E-07  4.857E+00  4.981E+00
  2.652E-02  2.160E-02  5.294E+00  5.460E+00  2.361E-06  4.773E+00  4.890E+00  4.960E-07  4.870E+00  4.996E+00
  3.106E-02  2.389E-02  5.336E+00  5.506E+00  2.427E-06  4.785E+00  4.903E+00  4.972E-07  4.890E+00  5.020E+00
  3.622E-02  2.801E-02  5.381E+00  5.557E+00  2.582E-06  4.803E+00  4.924E+00  5.267E-07  4.903E+00  5.036E+00
  4.136E-02  3.275E-02  5.433E+00  5.614E+00  2.787E-06  4.817E+00  4.940E+00  5.749E-07  4.913E+00  5.047E+00
  4.657E-02  3.992E-02  5.491E+00  5.678E+00  3.007E-06  4.825E+00  4.950E+00  6.153E-07  4.931E+00  5.067E+00
  5.101E-02  4.486E-02  5.572E+00  5.767E+00  3.192E-06  4.833E+00  4.960E+00  6.582E-07  4.950E+00  5.090E+00
  5.605E-02  5.462E-02  5.634E+00  5.836E+00  3.459E-06  4.863E+00  4.994E+00  7.174E-07  4.969E+00  5.113E+00
  6.104E-02  6.681E-02  5.700E+00  5.909E+00  3.751E-06  4.880E+00  5.014E+00  7.745E-07  4.991E+00  5.138E+00
  6.606E-02  8.181E-02  5.757E+00  5.971E+00  4.189E-06  4.888E+00  5.023E+00  8.436E-07  5.005E+00  5.155E+00
  7.135E-02  9.904E-02  5.850E+00  6.071E+00  4.475E-06  4.906E+00  5.045E+00  9.195E-07  5.035E+00  5.190E+00
  7.605E-02  1.211E-01  5.918E+00  6.146E+00  4.925E-06  4.926E+00  5.069E+00  1.011E-06  5.057E+00  5.216E+00
  8.148E-02  1.537E-01  5.968E+00  6.201E+00  5.486E-06  4.949E+00  5.095E+00  1.102E-06  5.073E+00  5.234E+00
  8.650E-02  1.842E-01  6.081E+00  6.323E+00  5.821E-06  4.973E+00  5.124E+00  1.201E-06  5.101E+00  5.268E+00
  9.139E-02  2.303E-01  6.170E+00  6.421E+00  6.545E-06  4.992E+00  5.147E+00  1.333E-06  5.131E+00  5.303E+00
  9.615E-02  2.873E-01  6.263E+00  6.523E+00  7.205E-06  5.015E+00  5.173E+00  1.448E-06  5.156E+00  5.333E+00
  1.013E-01  3.635E-01  6.386E+00  6.657E+00  7.932E-06  5.037E+00  5.200E+00  1.584E-06  5.181E+00  5.362E+00
  1.063E-01  4.620E-01  6.518E+00  6.802E+00  8.637E-06  5.062E+00  5.229E+00  1.717E-06  5.212E+00  5.399E+00
  1.111E-01  5.868E-01  6.654E+00  6.947E+00  9.413E-06  5.088E+00  5.260E+00  1.853E-06  5.247E+00  5.440E+00
  1.163E-01  7.612E-01  6.793E+00  7.098E+00  1.042E-05  5.119E+00  5.298E+00  2.033E-06  5.282E+00  5.482E+00
  1.213E-01  9.739E-01  6.930E+00  7.245E+00  1.164E-05  5.148E+00  5.331E+00  2.249E-06  5.321E+00  5.528E+00
  1.261E-01  1.250E+00  7.073E+00  7.399E+00  1.365E-05  5.169E+00  5.357E+00  2.631E-06  5.333E+00  5.545E+00
  1.312E-01  1.630E+00  7.251E+00  7.592E+00  1.668E-05  5.186E+00  5.377E+00  3.192E-06  5.344E+00  5.559E+00
  1.364E-01  2.124E+00  7.437E+00  7.794E+00  1.992E-05  5.212E+00  5.408E+00  3.755E-06  5.366E+00  5.587E+00
  1.413E-01  2.840E+00  7.661E+00  8.033E+00  2.352E-05  5.236E+00  5.437E+00  4.399E-06  5.383E+00  5.608E+00
  1.460E-01  3.792E+00  7.887E+00  8.275E+00  2.744E-05  5.267E+00  5.474E+00  5.084E-06  5.411E+00  5.643E+00
  1.511E-01  4.938E+00  8.077E+00  8.482E+00  3.198E-05  5.305E+00  5.519E+00  5.879E-06  5.457E+00  5.700E+00
  1.563E-01  6.663E+00  8.308E+00  8.730E+00  3.771E-05  5.356E+00  5.579E+00  6.821E-06  5.504E+00  5.757E+00
  1.612E-01  9.268E+00  8.590E+00  9.035E+00  4.545E-05  5.413E+00  5.646E+00  8.043E-06  5.567E+00  5.832E+00
  1.662E-01  1.343E+01  8.895E+00  9.365E+00  5.421E-05  5.477E+00  5.724E+00  9.392E-06  5.626E+00  5.906E+00
  1.710E-01  2.013E+01  9.147E+00  9.639E+00  6.355E-05  5.558E+00  5.820E+00  1.068E-05  5.717E+00  6.017E+00
  1.761E-01  3.341E+01  9.324E+00  9.856E+00  7.509E-05  5.674E+00  5.960E+00  1.215E-05  5.833E+00  6.162E+00
  1.810E-01  7.034E+01  9.128E+00  9.720E+00  8.534E-05  5.829E+00  6.148E+00  1.303E-05  5.998E+00  6.371E+00
  1.860E-01  1.245E+02  9.994E+00  1.067E+01  3.726E-02  6.293E+00  6.682E+00  5.334E-01  8.140E+00  8.878E+00
  1.910E-01  3.287E+02  1.300E+01  1.408E+01  1.466E+00  9.888E+00  1.089E+01  1.051E+01  1.404E+01  1.639E+01
  1.960E-01  1.489E+02  1.140E+01  1.250E+01  1.069E+01  1.145E+01  1.246E+01  1.574E+01  1.518E+01  1.789E+01
  2.010E-01  9.299E+01  1.088E+01  1.204E+01  3.396E+01  1.265E+01  1.379E+01  1.848E+01  1.564E+01  1.851E+01
  2.020E-01  8.498E+01  1.050E+01  1.161E+01  3.428E+01  1.253E+01  1.365E+01  1.843E+01  1.552E+01  1.826E+01
  2.030E-01  7.601E+01  1.008E+01  1.110E+01  3.263E+01  1.229E+01  1.337E+01  1.814E+01  1.539E+01  1.797E+01
  2.040E-01  6.777E+01  9.702E+00  1.064E+01  3.071E+01  1.206E+01  1.309E+01  1.777E+01  1.527E+01  1.771E+01
  2.050E-01  6.182E+01  9.426E+00  1.029E+01  2.960E+01  1.191E+01  1.290E+01  1.746E+01  1.517E+01  1.747E+01
  2.060E-01  5.880E+01  9.282E+00  1.010E+01  2.989E+01  1.186E+01  1.283E+01  1.736E+01  1.511E+01  1.730E+01
  2.070E-01  5.772E+01  9.249E+00  1.005E+01  3.127E+01  1.190E+01  1.286E+01  1.728E+01  1.508E+01  1.719E+01
  2.080E-01  5.814E+01  9.276E+00  1.007E+01  3.366E+01  1.200E+01  1.297E+01  1.729E+01  1.509E+01  1.715E+01
  2.090E-01  5.979E+01  9.321E+00  1.011E+01  3.673E+01  1.211E+01  1.308E+01  1.743E+01  1.512E+01  1.716E+01
  2.100E-01  6.275E+01  9.384E+00  1.017E+01  4.013E+01  1.220E+01  1.319E+01  1.780E+01  1.516E+01  1.719E+01
  2.110E-01  6.688E+01  9.461E+00  1.024E+01  4.335E+01  1.229E+01  1.329E+01  1.837E+01  1.521E+01  1.724E+01
  2.120E-01  7.122E+01  9.518E+00  1.029E+01  4.523E+01  1.235E+01  1.336E+01  1.886E+01  1.527E+01  1.731E+01
  2.130E-01  7.453E+01  9.545E+00  1.030E+01  4.559E+01  1.236E+01  1.338E+01  1.914E+01  1.532E+01  1.736E+01
  2.140E-01  7.561E+01  9.552E+00  1.029E+01  4.547E+01  1.233E+01  1.336E+01  1.922E+01  1.535E+01  1.739E+01
  2.150E-01  7.439E+01  9.554E+00  1.029E+01  4.654E+01  1.231E+01  1.334E+01  1.938E+01  1.535E+01  1.739E+01
  2.160E-01  7.240E+01  9.539E+00  1.027E+01  4.883E+01  1.233E+01  1.336E+01  1.980E+01  1.536E+01  1.739E+01
  2.170E-01  7.048E+01  9.494E+00  1.021E+01  5.044E+01  1.236E+01  1.340E+01  2.028E+01  1.538E+01  1.740E+01
  2.180E-01  6.836E+01  9.419E+00  1.012E+01  4.998E+01  1.236E+01  1.340E+01  2.057E+01  1.539E+01  1.741E+01
  2.190E-01  6.570E+01  9.307E+00  9.990E+00  4.779E+01  1.231E+01  1.335E+01  2.058E+01  1.539E+01  1.739E+01
  2.200E-01  6.338E+01  9.169E+00  9.832E+00  4.464E+01  1.219E+01  1.322E+01  2.049E+01  1.536E+01  1.735E+01
  2.210E-01  6.113E+01  9.029E+00  9.672E+00  4.126E+01  1.202E+01  1.304E+01  2.033E+01  1.533E+01  1.732E+01
  2.220E-01  5.907E+01  8.925E+00  9.556E+00  3.868E+01  1.187E+01  1.286E+01  2.032E+01  1.533E+01  1.733E+01
  2.230E-01  5.663E+01  8.883E+00  9.509E+00  3.750E+01  1.177E+01  1.274E+01  2.042E+01  1.537E+01  1.738E+01
  2.240E-01  5.456E+01  8.889E+00  9.518E+00  3.735E+01  1.172E+01  1.268E+01  2.062E+01  1.543E+01  1.746E+01
  2.250E-01  5.302E+01  8.911E+00  9.545E+00  3.714E+01  1.170E+01  1.265E+01  2.077E+01  1.550E+01  1.752E+01
  2.260E-01  5.212E+01  8.915E+00  9.551E+00  3.666E+01  1.166E+01  1.261E+01  2.100E+01  1.552E+01  1.752E+01
  2.270E-01  5.093E+01  8.885E+00  9.523E+00  3.586E+01  1.162E+01  1.256E+01  2.120E+01  1.551E+01  1.749E+01
  2.280E-01  4.900E+01  8.818E+00  9.453E+00  3.512E+01  1.157E+01  1.250E+01  2.134E+01  1.549E+01  1.745E+01
  2.290E-01  4.628E+01  8.734E+00  9.363E+00  3.451E+01  1.154E+01  1.246E+01  2.136E+01  1.549E+01  1.744E+01
  2.300E-01  4.393E+01  8.674E+00  9.298E+00  3.421E+01  1.152E+01  1.244E+01  2.144E+01  1.552E+01  1.747E+01
  2.310E-01  4.253E+01  8.668E+00  9.296E+00  3.375E+01  1.151E+01  1.243E+01  2.142E+01  1.557E+01  1.753E+01
  2.320E-01  4.289E+01  8.716E+00  9.357E+00  3.370E+01  1.151E+01  1.242E+01  2.165E+01  1.562E+01  1.759E+01
  2.330E-01  4.395E+01  8.790E+00  9.449E+00  3.382E+01  1.150E+01  1.241E+01  2.182E+01  1.565E+01  1.763E+01
  2.340E-01  4.494E+01  8.866E+00  9.545E+00  3.427E+01  1.149E+01  1.241E+01  2.194E+01  1.566E+01  1.765E+01
  2.350E-01  4.307E+01  8.931E+00  9.626E+00  3.312E+01  1.151E+01  1.242E+01  2.088E+01  1.566E+01  1.766E+01
  2.360E-01  4.092E+01  8.982E+00  9.694E+00  3.230E+01  1.154E+01  1.246E+01  2.000E+01  1.566E+01  1.766E+01
  2.370E-01  3.876E+01  9.009E+00  9.734E+00  3.166E+01  1.157E+01  1.250E+01  1.939E+01  1.565E+01  1.765E+01
  2.380E-01  3.807E+01  9.005E+00  9.736E+00  3.194E+01  1.158E+01  1.251E+01  1.966E+01  1.563E+01  1.762E+01
  2.390E-01  3.692E+01  8.964E+00  9.693E+00  3.130E+01  1.156E+01  1.250E+01  1.970E+01  1.561E+01  1.759E+01
  2.400E-01  3.566E+01  8.906E+00  9.630E+00  3.024E+01  1.152E+01  1.245E+01  1.949E+01  1.557E+01  1.756E+01
  2.410E-01  3.470E+01  8.865E+00  9.584E+00  2.972E+01  1.151E+01  1.244E+01  1.925E+01  1.555E+01  1.755E+01
  2.420E-01  3.413E+01  8.865E+00  9.583E+00  3.024E+01  1.155E+01  1.248E+01  1.915E+01  1.557E+01  1.757E+01
  2.430E-01  3.399E+01  8.907E+00  9.630E+00  3.150E+01  1.164E+01  1.258E+01  1.924E+01  1.563E+01  1.764E+01
  2.440E-01  3.442E+01  8.976E+00  9.708E+00  3.271E+01  1.172E+01  1.267E+01  1.943E+01  1.569E+01  1.771E+01
  2.450E-01  3.541E+01  9.055E+00  9.800E+00  3.333E+01  1.177E+01  1.273E+01  1.960E+01  1.574E+01  1.776E+01
  2.460E-01  3.643E+01  9.128E+00  9.885E+00  3.325E+01  1.179E+01  1.276E+01  1.955E+01  1.576E+01  1.778E+01
  2.470E-01  3.701E+01  9.184E+00  9.950E+00  3.298E+01  1.181E+01  1.277E+01  1.930E+01  1.576E+01  1.778E+01
  2.480E-01  3.733E+01  9.222E+00  9.992E+00  3.333E+01  1.183E+01  1.280E+01  1.918E+01  1.577E+01  1.779E+01
  2.490E-01  3.770E+01  9.255E+00  1.003E+01  3.433E+01  1.187E+01  1.284E+01  1.936E+01  1.579E+01  1.780E+01
  2.500E-01  3.831E+01  9.290E+00  1.007E+01  3.543E+01  1.192E+01  1.289E+01  1.971E+01  1.581E+01  1.782E+01
  2.510E-01  3.884E+01  9.320E+00  1.011E+01  3.587E+01  1.194E+01  1.292E+01  1.993E+01  1.581E+01  1.782E+01
  2.520E-01  3.903E+01  9.331E+00  1.012E+01  3.571E+01  1.193E+01  1.291E+01  1.995E+01  1.580E+01  1.781E+01
  2.530E-01  3.870E+01  9.320E+00  1.011E+01  3.533E+01  1.192E+01  1.290E+01  1.982E+01  1.578E+01  1.779E+01
  2.540E-01  3.802E+01  9.305E+00  1.009E+01  3.506E+01  1.191E+01  1.289E+01  1.967E+01  1.578E+01  1.780E+01
  2.550E-01  3.757E+01  9.307E+00  1.010E+01  3.513E+01  1.193E+01  1.291E+01  1.965E+01  1.580E+01  1.781E+01
  2.560E-01  3.735E+01  9.335E+00  1.013E+01  3.525E+01  1.196E+01  1.295E+01  1.965E+01  1.583E+01  1.785E+01
  2.570E-01  3.713E+01  9.375E+00  1.017E+01  3.511E+01  1.200E+01  1.298E+01  1.954E+01  1.587E+01  1.788E+01
  2.580E-01  3.705E+01  9.410E+00  1.021E+01  3.495E+01  1.202E+01  1.301E+01  1.944E+01  1.590E+01  1.791E+01
  2.590E-01  3.724E+01  9.439E+00  1.024E+01  3.499E+01  1.204E+01  1.303E+01  1.943E+01  1.592E+01  1.794E+01
  2.600E-01  3.780E+01  9.474E+00  1.028E+01  3.542E+01  1.206E+01  1.306E+01  1.955E+01  1.594E+01  1.796E+01
  2.610E-01  3.830E+01  9.521E+00  1.034E+01  3.585E+01  1.210E+01  1.310E+01  1.958E+01  1.595E+01  1.798E+01
  2.620E-01  3.853E+01  9.571E+00  1.040E+01  3.613E+01  1.214E+01  1.314E+01  1.946E+01  1.596E+01  1.800E+01
  2.630E-01  3.828E+01  9.611E+00  1.045E+01  3.603E+01  1.217E+01  1.318E+01  1.917E+01  1.596E+01  1.801E+01
  2.640E-01  3.788E+01  9.635E+00  1.048E+01  3.586E+01  1.218E+01  1.320E+01  1.893E+01  1.594E+01  1.800E+01
  2.650E-01  3.774E+01  9.644E+00  1.049E+01  3.593E+01  1.218E+01  1.320E+01  1.894E+01  1.591E+01  1.798E+01
  2.660E-01  3.793E+01  9.639E+00  1.049E+01  3.631E+01  1.218E+01  1.320E+01  1.929E+01  1.591E+01  1.797E+01
  2.670E-01  3.760E+01  9.622E+00  1.046E+01  3.611E+01  1.216E+01  1.318E+01  1.948E+01  1.594E+01  1.798E+01
  2.680E-01  3.720E+01  9.602E+00  1.044E+01  3.579E+01  1.215E+01  1.316E+01  1.962E+01  1.598E+01  1.800E+01
  2.690E-01  3.703E+01  9.594E+00  1.043E+01  3.567E+01  1.214E+01  1.315E+01  1.974E+01  1.600E+01  1.802E+01
  2.700E-01  3.764E+01  9.607E+00  1.045E+01  3.638E+01  1.216E+01  1.316E+01  2.008E+01  1.601E+01  1.803E+01
  2.710E-01  3.837E+01  9.642E+00  1.049E+01  3.737E+01  1.219E+01  1.320E+01  2.036E+01  1.602E+01  1.805E+01
  2.720E-01  3.890E+01  9.690E+00  1.055E+01  3.816E+01  1.224E+01  1.326E+01  2.046E+01  1.604E+01  1.808E+01
  2.730E-01  3.951E+01  9.745E+00  1.061E+01  3.873E+01  1.229E+01  1.332E+01  2.054E+01  1.606E+01  1.812E+01
  2.740E-01  4.042E+01  9.802E+00  1.067E+01  3.918E+01  1.233E+01  1.336E+01  2.067E+01  1.608E+01  1.814E+01
  2.750E-01  4.155E+01  9.859E+00  1.074E+01  3.970E+01  1.236E+01  1.340E+01  2.083E+01  1.610E+01  1.816E+01
  2.760E-01  4.240E+01  9.911E+00  1.079E+01  4.020E+01  1.240E+01  1.344E+01  2.086E+01  1.611E+01  1.817E+01
  2.770E-01  4.311E+01  9.956E+00  1.085E+01  4.087E+01  1.244E+01  1.348E+01  2.089E+01  1.612E+01  1.817E+01
  2.780E-01  4.351E+01  9.990E+00  1.089E+01  4.138E+01  1.246E+01  1.351E+01  2.089E+01  1.612E+01  1.817E+01
  2.790E-01  4.381E+01  1.001E+01  1.091E+01  4.167E+01  1.247E+01  1.352E+01  2.099E+01  1.611E+01  1.817E+01
  2.800E-01  4.367E+01  1.000E+01  1.090E+01  4.140E+01  1.246E+01  1.351E+01  2.103E+01  1.610E+01  1.816E+01
  2.810E-01  4.333E+01  9.984E+00  1.088E+01  4.093E+01  1.244E+01  1.349E+01  2.106E+01  1.611E+01  1.816E+01
  2.820E-01  4.298E+01  9.975E+00  1.087E+01  4.054E+01  1.243E+01  1.348E+01  2.104E+01  1.611E+01  1.817E+01
  2.830E-01  4.295E+01  9.990E+00  1.089E+01  4.057E+01  1.245E+01  1.350E+01  2.103E+01  1.612E+01  1.819E+01
  2.840E-01  4.336E+01  1.003E+01  1.094E+01  4.104E+01  1.249E+01  1.355E+01  2.108E+01  1.614E+01  1.822E+01
  2.850E-01  4.413E+01  1.009E+01  1.100E+01  4.176E+01  1.254E+01  1.360E+01  2.119E+01  1.616E+01  1.825E+01
  2.860E-01  4.485E+01  1.015E+01  1.107E+01  4.218E+01  1.259E+01  1.366E+01  2.118E+01  1.620E+01  1.830E+01
  2.870E-01  4.515E+01  1.022E+01  1.115E+01  4.207E+01  1.264E+01  1.372E+01  2.090E+01  1.623E+01  1.834E+01
  2.880E-01  4.547E+01  1.027E+01  1.121E+01  4.211E+01  1.268E+01  1.376E+01  2.063E+01  1.626E+01  1.836E+01
  2.890E-01  4.585E+01  1.030E+01  1.125E+01  4.256E+01  1.270E+01  1.379E+01  2.055E+01  1.625E+01  1.835E+01
  2.900E-01  4.620E+01  1.031E+01  1.126E+01  4.315E+01  1.270E+01  1.379E+01  2.070E+01  1.622E+01  1.832E+01
  2.910E-01  4.574E+01  1.029E+01  1.124E+01  4.292E+01  1.268E+01  1.377E+01  2.074E+01  1.618E+01  1.829E+01
  2.920E-01  4.436E+01  1.024E+01  1.118E+01  4.171E+01  1.263E+01  1.372E+01  2.059E+01  1.615E+01  1.826E+01
  2.930E-01  4.262E+01  1.018E+01  1.111E+01  4.021E+01  1.257E+01  1.365E+01  2.037E+01  1.613E+01  1.824E+01
  2.940E-01  4.087E+01  1.013E+01  1.106E+01  3.887E+01  1.252E+01  1.361E+01  2.012E+01  1.612E+01  1.824E+01
  2.950E-01  3.944E+01  1.012E+01  1.105E+01  3.787E+01  1.252E+01  1.360E+01  1.986E+01  1.615E+01  1.828E+01
  2.960E-01  3.868E+01  1.015E+01  1.107E+01  3.736E+01  1.255E+01  1.363E+01  1.968E+01  1.620E+01  1.832E+01
  2.970E-01  3.880E+01  1.021E+01  1.114E+01  3.755E+01  1.260E+01  1.367E+01  1.966E+01  1.624E+01  1.835E+01
  2.980E-01  3.957E+01  1.028E+01  1.122E+01  3.838E+01  1.265E+01  1.374E+01  1.979E+01  1.626E+01  1.837E+01
  2.990E-01  4.017E+01  1.036E+01  1.131E+01  3.912E+01  1.271E+01  1.380E+01  1.979E+01  1.629E+01  1.840E+01
  3.000E-01  4.035E+01  1.041E+01  1.137E+01  3.936E+01  1.276E+01  1.385E+01  1.970E+01  1.632E+01  1.842E+01
  3.010E-01  4.027E+01  1.043E+01  1.140E+01  3.912E+01  1.276E+01  1.386E+01  1.961E+01  1.634E+01  1.844E+01
  3.110E-01  3.989E+01  1.069E+01  1.170E+01  3.819E+01  1.297E+01  1.410E+01  1.876E+01  1.644E+01  1.856E+01
  3.210E-01  3.982E+01  1.093E+01  1.198E+01  3.793E+01  1.316E+01  1.432E+01  1.839E+01  1.651E+01  1.866E+01
  3.310E-01  3.879E+01  1.108E+01  1.216E+01  3.721E+01  1.328E+01  1.446E+01  1.766E+01  1.656E+01  1.872E+01
  3.410E-01  3.610E+01  1.115E+01  1.225E+01  3.518E+01  1.333E+01  1.454E+01  1.697E+01  1.662E+01  1.878E+01
  3.510E-01  3.173E+01  1.121E+01  1.234E+01  3.138E+01  1.338E+01  1.461E+01  1.624E+01  1.667E+01  1.883E+01
  3.610E-01  2.929E+01  1.138E+01  1.255E+01  2.905E+01  1.352E+01  1.477E+01  1.559E+01  1.672E+01  1.890E+01
  3.710E-01  2.965E+01  1.164E+01  1.287E+01  2.918E+01  1.373E+01  1.503E+01  1.490E+01  1.676E+01  1.895E+01
  3.810E-01  2.913E+01  1.182E+01  1.308E+01  2.864E+01  1.389E+01  1.522E+01  1.424E+01  1.681E+01  1.900E+01
  3.910E-01  2.741E+01  1.192E+01  1.322E+01  2.703E+01  1.398E+01  1.534E+01  1.354E+01  1.684E+01  1.905E+01
  4.010E-01  2.660E+01  1.207E+01  1.342E+01  2.626E+01  1.411E+01  1.551E+01  1.292E+01  1.689E+01  1.911E+01
  4.110E-01  2.626E+01  1.224E+01  1.363E+01  2.591E+01  1.426E+01  1.570E+01  1.236E+01  1.693E+01  1.915E+01
  4.210E-01  2.491E+01  1.231E+01  1.373E+01  2.466E+01  1.434E+01  1.579E+01  1.186E+01  1.696E+01  1.920E+01
  4.310E-01  2.421E+01  1.240E+01  1.384E+01  2.405E+01  1.442E+01  1.590E+01  1.130E+01  1.700E+01  1.925E+01
  4.410E-01  2.395E+01  1.251E+01  1.399E+01  2.381E+01  1.452E+01  1.603E+01  1.081E+01  1.703E+01  1.930E+01
  4.510E-01  2.332E+01  1.259E+01  1.410E+01  2.325E+01  1.459E+01  1.612E+01  1.040E+01  1.707E+01  1.935E+01
  4.610E-01  2.284E+01  1.269E+01  1.423E+01  2.281E+01  1.468E+01  1.624E+01  1.000E+01  1.713E+01  1.941E+01
  4.710E-01  2.267E+01  1.284E+01  1.441E+01  2.263E+01  1.482E+01  1.641E+01  9.696E+00  1.716E+01  1.945E+01
  4.810E-01  2.191E+01  1.294E+01  1.452E+01  2.187E+01  1.492E+01  1.652E+01  9.377E+00  1.720E+01  1.950E+01
  4.910E-01  2.130E+01  1.298E+01  1.459E+01  2.129E+01  1.496E+01  1.659E+01  9.070E+00  1.725E+01  1.956E+01
  5.010E-01  2.141E+01  1.308E+01  1.471E+01  2.145E+01  1.506E+01  1.670E+01  8.801E+00  1.728E+01  1.960E+01
  5.110E-01  2.147E+01  1.317E+01  1.482E+01  2.155E+01  1.514E+01  1.680E+01  8.545E+00  1.732E+01  1.966E+01
  5.210E-01  2.119E+01  1.326E+01  1.494E+01  2.124E+01  1.522E+01  1.690E+01  8.325E+00  1.736E+01  1.971E+01
  5.310E-01  2.125E+01  1.341E+01  1.512E+01  2.125E+01  1.536E+01  1.707E+01  8.183E+00  1.741E+01  1.977E+01
  5.410E-01  2.188E+01  1.354E+01  1.527E+01  2.185E+01  1.547E+01  1.721E+01  8.042E+00  1.744E+01  1.983E+01
  5.510E-01  2.236E+01  1.369E+01  1.544E+01  2.225E+01  1.560E+01  1.737E+01  7.921E+00  1.748E+01  1.987E+01
  5.610E-01  2.233E+01  1.379E+01  1.557E+01  2.217E+01  1.570E+01  1.748E+01  7.771E+00  1.752E+01  1.993E+01
  5.710E-01  2.300E+01  1.385E+01  1.564E+01  2.285E+01  1.577E+01  1.756E+01  7.602E+00  1.756E+01  1.998E+01
  5.810E-01  2.307E+01  1.391E+01  1.571E+01  2.293E+01  1.583E+01  1.763E+01  7.477E+00  1.760E+01  2.004E+01
  5.910E-01  2.251E+01  1.394E+01  1.574E+01  2.241E+01  1.586E+01  1.766E+01  7.381E+00  1.762E+01  2.008E+01
  6.010E-01  2.198E+01  1.398E+01  1.580E+01  2.193E+01  1.590E+01  1.772E+01  7.237E+00  1.767E+01  2.013E+01
  6.110E-01  2.157E+01  1.403E+01  1.587E+01  2.150E+01  1.595E+01  1.779E+01  7.136E+00  1.771E+01  2.018E+01
  6.210E-01  2.150E+01  1.411E+01  1.597E+01  2.141E+01  1.603E+01  1.788E+01  7.061E+00  1.785E+01  2.033E+01
  6.310E-01  2.191E+01  1.420E+01  1.608E+01  2.184E+01  1.612E+01  1.799E+01  7.463E+00  1.852E+01  2.105E+01
  6.410E-01  2.169E+01  1.426E+01  1.614E+01  2.164E+01  1.617E+01  1.805E+01  7.559E+00  1.905E+01  2.162E+01
  6.510E-01  2.076E+01  1.419E+01  1.608E+01  2.078E+01  1.612E+01  1.799E+01  7.701E+00  1.974E+01  2.236E+01
  6.610E-01  1.586E+01  1.320E+01  1.492E+01  1.628E+01  1.538E+01  1.715E+01  7.982E+00  2.034E+01  2.299E+01
  6.710E-01  1.157E+01  1.313E+01  1.473E+01  1.312E+01  1.624E+01  1.802E+01  8.257E+00  2.099E+01  2.368E+01
  6.810E-01  1.089E+01  1.341E+01  1.498E+01  1.337E+01  1.719E+01  1.903E+01  8.385E+00  2.146E+01  2.415E+01
  6.910E-01  1.004E+01  1.351E+01  1.505E+01  1.246E+01  1.742E+01  1.929E+01  8.406E+00  2.184E+01  2.453E+01
  7.010E-01  9.660E+00  1.355E+01  1.506E+01  1.193E+01  1.756E+01  1.942E+01  8.285E+00  2.206E+01  2.473E+01
  7.110E-01  9.953E+00  1.341E+01  1.490E+01  1.252E+01  1.747E+01  1.930E+01  8.174E+00  2.231E+01  2.497E+01
  7.210E-01  1.035E+01  1.322E+01  1.466E+01  1.302E+01  1.718E+01  1.894E+01  8.048E+00  2.251E+01  2.515E+01
  7.310E-01  9.729E+00  1.260E+01  1.397E+01  1.214E+01  1.631E+01  1.797E+01  7.493E+00  2.233E+01  2.492E+01
  7.410E-01  7.750E+00  1.185E+01  1.314E+01  9.648E+00  1.527E+01  1.685E+01  7.143E+00  2.218E+01  2.473E+01
  7.510E-01  6.325E+00  1.138E+01  1.259E+01  7.866E+00  1.464E+01  1.612E+01  6.827E+00  2.198E+01  2.450E+01
  7.610E-01  6.270E+00  1.134E+01  1.251E+01  7.776E+00  1.462E+01  1.606E+01  6.567E+00  2.193E+01  2.443E+01
  7.710E-01  6.813E+00  1.148E+01  1.266E+01  8.467E+00  1.482E+01  1.628E+01  6.478E+00  2.179E+01  2.426E+01
  7.810E-01  7.211E+00  1.174E+01  1.298E+01  9.031E+00  1.520E+01  1.672E+01  6.265E+00  2.167E+01  2.412E+01
  7.910E-01  7.583E+00  1.210E+01  1.342E+01  9.431E+00  1.562E+01  1.722E+01  6.058E+00  2.160E+01  2.401E+01
  8.010E-01  8.611E+00  1.255E+01  1.391E+01  1.053E+01  1.619E+01  1.783E+01  6.079E+00  2.170E+01  2.411E+01
  8.110E-01  1.066E+01  1.275E+01  1.410E+01  1.298E+01  1.650E+01  1.813E+01  6.123E+00  2.178E+01  2.419E+01
  8.210E-01  1.100E+01  1.239E+01  1.370E+01  1.355E+01  1.605E+01  1.762E+01  6.205E+00  2.190E+01  2.433E+01
  8.310E-01  9.999E+00  1.218E+01  1.345E+01  1.200E+01  1.556E+01  1.708E+01  6.210E+00  2.185E+01  2.428E+01
  8.410E-01  9.234E+00  1.204E+01  1.330E+01  1.088E+01  1.529E+01  1.677E+01  6.150E+00  2.178E+01  2.419E+01
