1.679 (-42)
6.403 (-43)

8.6
7.010 (-43)
6.720 (-43)
1.793 (-42)
7.042 (-43)

8.8
7.530 (-43)
7.210 (-43)
1.911 (-42)
7.713 (-43)

9.0
8.070 (-43)
7.718 (-43)
2.034 (-42)
8.416 (-43)

9.2
8.629 (-43)
8.243 (-43)
2.160 (-42)
9.152 (-43)

9.4
9.209 (-43)
8.787 (-43)
2.291 (-42)
9.919 (-43)

9.6
9.809 (-43)
9.349 (-43)
2.425 (-42)
1.072 (-42)

9.8
1.043 (-42)
9.928 (-43)
2.565 (-42)
1.155 (-42)

10.0
1.107 (-42)
1.053 (-42)
2.708 (-42)
1.242 (-42)

10.2
1.173 (-42)
1.114 (-42)
2.856 (-42)
1.331 (-42)

10.4
1.241 (-42)
1.177 (-42)
3.007 (-42)
1.424 (-42)

10.6
1.311 (-42)
1.243 (-42)
3.164 (-42)
1.520 (-42)

10.8
1.383 (-42)
1.310 (-42)
3.324 (-42)
1.619 (-42)

11.0
1.458 (-42)
1.378 (-42)
3.489 (-42)
1.722 (-42)

11.2
1.534 (-42)
1.449 (-42)
3.658 (-42)
1.828 (-42)

11.4
1.612 (-42)
1.521 (-42)
3.832 (-42)
1.937 (-42)

11.6
1.693 (-42)
1.595 (-42)
4.010 (-42)
2.049 (-42)

11.8
1.775 (-42)
1.671 (-42)
4.192 (-42)
2.164 (-42)

12.0
1.860 (-42)
1.748 (-42)
4.379 (-42)
2.282 (-42)

12.2
1.947 (-42)
1.828 (-42)
4.570 (-42)
2.404 (-42)

12.4
2.035 (-42)
1.909 (-42)
4.766 (-42)
2.529 (-42)

12.6
2.126 (-42)
1.992 (-42)
4.966 (-42)
2.657 (-42)

12.8
2.219 (-42)
2.077 (-42)
5.171 (-42)
2.788 (-42)

13.0
2.314 (-42)
2.163 (-42)
5.380 (-42)
2.922 (-42)

13.5
2.561 (-42)
2.387 (-42)
5.923 (-42)
3.272 (-42)

14.0
2.822 (-42)
2.622 (-42)
6.495 (-42)
3.641 (-42)

14.5
3.095 (-42)
2.868 (-42)
7.095 (-42)
4.029 (-42)

15.0
3.382 (-42)
3.125 (-42)
7.724 (-42)
4.437 (-42)

15.5
3.682 (-42)
3.392 (-42)
8.383 (-42)
4.864 (-42)

16.0
3.995 (-42)
3.671 (-42)
9.071 (-42)
5.310 (-42)

16.5
4.323 (-42)
3.960 (-42)
9.789 (-42)
5.775 (-42)

17.0
4.663 (-42)
4.260 (-42)
1.054 (-41)
6.258 (-42)

17.5
5.017 (-42)
4.570 (-42)
1.131 (-41)
6.761 (-42)

18.0
5.385 (-42)
4.891 (-42)
1.212 (-41)
7.282 (-42)

18.5
5.767 (-42)
5.223 (-42)
1.296 (-41)
7.821 (-42)

19.0
6.162 (-42)
5.565 (-42)
1.383 (-41)
8.378 (-42)

19.5
6.571 (-42)
5.918 (-42)
1.474 (-41)
8.954 (-42)

20.0
6.994 (-42)
6.281 (-42)
1.567 (-41)
9.547 (-42)

20.5
7.431 (-42)
6.654 (-42)
1.663 (-41)
1.016 (-41)

21.0
7.882 (-42)
7.038 (-42)
1.763 (-41)
1.079 (-41)

21.5
8.347 (-42)
7.432 (-42)
1.866 (-41)
1.143 (-41)

22.0
8.826 (-42)
7.836 (-42)
1.972 (-41)
1.210 (-41)

22.5
9.319 (-42)
8.250 (-42)
2.081 (-41)
1.278 (-41)

23.0
9.826 (-42)
8.674 (-42)
2.194 (-41)
1.348 (-41)

23.5
1.035 (-41)
9.109 (-42)
2.310 (-41)
1.419 (-41)

24.0
1.088 (-41)
9.553 (-42)
2.429 (-41)
1.493 (-41)

24.5
1.143 (-41)
1.001 (-41)
2.552 (-41)
1.568 (-41)

25
1.200 (-41)
1.047 (-41)
2.678 (-41)
1.645 (-41)

26
1.317 (-41)
1.143 (-41)
2.941 (-41)
1.803 (-41)

27
1.440 (-41)
1.243 (-41)
3.217 (-41)
1.968 (-41)

28
1.569 (-41)
1.347 (-41)
3.507 (-41)
2.139 (-41)

29
1.704 (-41)
1.454 (-41)
3.811 (-41)
2.317 (-41)

30
1.844 (-41)
1.566 (-41)
4.130 (-41)
2.501 (-41)

31
1.991 (-41)
1.681 (-41)
4.463 (-41)
2.691 (-41)

32
2.143 (-41)
1.800 (-41)
4.811 (-41)
2.888 (-41)

33
2.302 (-41)
1.922 (-41)
5.173 (-41)
3.090 (-41)

34
2.466 (-41)
2.048 (-41)
5.551 (-41)
3.298 (-41)

35
2.637 (-41)
2.178 (-41)
5.944 (-41)
3.512 (-41)

36
2.814 (-41)
2.312 (-41)
6.352 (-41)
3.732 (-41)

37
2.997 (-41)
2.449 (-41)
6.776 (-41)
3.958 (-41)

38
3.186 (-41)
2.589 (-41)
7.215 (-41)
4.189 (-41)

39
3.382 (-41)
2.733 (-41)
7.670 (-41)
4.426 (-41)

40
3.583 (-41)
2.881 (-41)
8.141 (-41)
4.668 (-41)

41
3.791 (-41)
3.031 (-41)
8.628 (-41)
4.916 (-41)

42
4.005 (-41)
3.186 (-41)
9.132 (-41)
5.169 (-41)

43
4.225 (-41)
3.343 (-41)
9.652 (-41)
5.427 (-41)

44
4.452 (-41)
3.504 (-41)
1.019 (-40)
5.690 (-41)

45
4.684 (-41)
3.668 (-41)
1.074 (-40)
5.958 (-41)

46
4.923 (-41)
