  0.097849
       22.33   1.412e-09       11.94   2.317e-08       43.54   2.497e-23
       25.89   4.669e-11       13.43   9.159e-09       45.56    3.02e-24
       30.02   7.845e-13       15.12   2.998e-09       47.59   3.629e-25
        34.8    6.03e-15       17.01   7.932e-10       49.62   4.338e-26
       40.35   1.888e-17       19.15   1.651e-10       51.64   5.162e-27
       46.78   2.107e-20       21.54    2.62e-11       53.67    6.12e-28
       54.24   7.324e-24       24.25   3.066e-12       55.69   7.232e-29
       62.89   6.704e-28       27.28   2.544e-13       57.72   8.527e-30
       72.91   1.319e-32        30.7   1.435e-14       59.74   1.003e-30
       84.54   3.592e-38       34.55   5.235e-16       61.77   1.179e-31
       98.01   5.605e-45       38.88    1.17e-17        63.8   1.384e-32
       113.6           0       43.76   1.504e-19       65.82   1.623e-33
       131.8           0       49.24   1.038e-21       67.85   1.903e-34
       152.8           0       55.41   3.554e-24       69.87   2.231e-35
       177.1           0       62.35   5.515e-27        71.9   2.615e-36
       205.3   1.401e-45       70.17   3.501e-30       73.92   3.067e-37
       238.1   1.401e-45       78.97   8.077e-34       75.95     3.6e-38
         276   2.803e-45       88.86   5.883e-38       77.97   4.226e-39
         320           0         100           0          80           0
  0.231910
           1           0           1           0           1           0
       1.159   2.527e-05       1.125    6.18e-08       3.026   1.262e-07
       1.344   3.848e-05       1.266   8.136e-08       5.051   7.416e-08
       1.559    5.75e-05       1.425   1.055e-07       7.077   2.681e-08
       1.807   8.376e-05       1.604   1.348e-07       9.103   7.836e-09
       2.095   0.0001181       1.805   1.696e-07       11.13   1.968e-09
       2.429   0.0001599       2.031   2.099e-07       13.15   4.369e-10
       2.816   0.0002072       2.286   2.553e-07       15.18   8.826e-11
       3.265   0.0002563       2.572   3.045e-07        17.2   1.662e-11
       3.785   0.0003035       2.894    3.55e-07       19.23   2.961e-12
       4.389   0.0003454       3.257    4.03e-07       21.26   5.044e-13
       5.088   0.0003786       3.665   4.432e-07       23.28    8.28e-14
       5.899   0.0003962       4.125   4.691e-07       25.31   1.317e-14
        6.84   0.0003851       4.642   4.744e-07       27.33   2.038e-15
        7.93   0.0003278       5.223   4.543e-07       29.36   3.081e-16
       9.194    0.000221       5.878    4.08e-07       31.39   4.563e-17
       10.66   0.0001067       6.615     3.4e-07       33.41   6.639e-18
       12.36   3.614e-05       7.444   2.597e-07       35.44   9.513e-19
       14.33   8.718e-06       8.377   1.795e-07       37.46   1.345e-19
       16.61   1.461e-06       9.427   1.107e-07       39.49   1.879e-20
       19.26   1.608e-07       10.61   5.988e-08       41.51   2.588e-21
       22.33   1.085e-08       11.94   2.795e-08       43.54   3.552e-22
       25.89   4.136e-10       13.43   1.103e-08       45.56   4.839e-23
       30.02   8.173e-12       15.12   3.605e-09       47.59   6.552e-24
        34.8   7.609e-14       17.01   9.518e-10       49.62   8.825e-25
       40.35   2.999e-16       19.15   1.976e-10       51.64   1.184e-25
       46.78   4.419e-19       21.54    3.13e-11       53.67   1.582e-26
       54.24   2.145e-22       24.25   3.654e-12       55.69   2.109e-27
       62.89   2.933e-26       27.28   3.026e-13       57.72   2.806e-28
       72.91   9.263e-31        30.7   1.702e-14       59.74   3.726e-29
       84.54   5.269e-36       34.55   6.196e-16       61.77   4.944e-30
       98.01   1.997e-42       38.88   1.381e-17        63.8   6.557e-31
       113.6           0       43.76   1.771e-19       65.82   8.694e-32
       131.8           0       49.24   1.219e-21       67.85   1.153e-32
       152.8           0       55.41   4.163e-24       69.87   1.529e-33
       177.1           0       62.35   6.443e-27        71.9    2.03e-34
       205.3   1.401e-45       70.17   4.081e-30       73.92   2.697e-35
       238.1   1.401e-45       78.97   9.399e-34       75.95   3.586e-36
         276   2.803e-45       88.86   6.842e-38       77.97   4.774e-37
         320           0         100           0          80           0
  0.248830
           1           0           1           0           1           0
       1.159   2.368e-05       1.125    6.15e-08       3.026   1.295e-07
       1.344   3.649e-05       1.266   8.156e-08       5.051   8.273e-08
       1.559   5.537e-05       1.425   1.067e-07       7.077   3.271e-08
       1.807   8.226e-05       1.604   1.377e-07       9.103   1.069e-08
       2.095   0.0001189       1.805    1.75e-07       11.13   3.088e-09
       2.429   0.0001662       2.031   2.191e-07       13.15    7.97e-10
       2.816   0.0002237       2.286   2.695e-07       15.18    1.86e-10
       3.265     0.00029       2.572   3.252e-07        17.2   4.003e-11
       3.785   0.0003633       2.894   3.833e-07       19.23   8.092e-12
       4.389   0.0004426       3.257   4.395e-07       21.26   1.556e-12
       5.088   0.0005272       3.665   4.875e-07       23.28    2.87e-13
       5.899   0.0006118       4.125   5.197e-07       25.31   5.115e-14
        6.84   0.0006791       4.642   5.285e-07       27.33   8.852e-15
        7.93   0.0006933       5.223   5.083e-07       29.36   1.494e-15
       9.194    0.000604       5.878   4.579e-07       31.39   2.467e-16
       10.66   0.0003955       6.615   3.823e-07       33.41   3.999e-17
       12.36   0.0001686       7.444   2.925e-07       35.44    6.38e-18
       14.33   4.559e-05       8.377   2.023e-07       37.46   1.004e-18
       16.61   8.194e-06       9.427   1.248e-07       39.49    1.56e-19
       19.26   9.645e-07       10.61   6.752e-08       41.51   2.392e-20
       22.33   7.027e-08       11.94   3.151e-08       43.54   3.653e-21
       25.89    2.95e-09       13.43   1.244e-08       45.56    5.54e-22
       30.02   6.596e-11       15.12   4.061e-09       47.59   8.351e-23
        34.8   7.188e-13       17.01   1.071e-09       49.62   1.253e-23
       40.35   3.453e-15       19.15   2.221e-10       51.64   1.872e-24
       46.78   6.492e-18       21.54   3.513e-11       53.67    2.79e-25
       54.24   4.237e-21       24.25   4.093e-12       55.69   4.146e-26
       62.89   8.278e-25       27.28   3.382e-13       57.72   6.153e-27
       72.91   3.994e-29        30.7   1.898e-14       59.74    9.12e-28
       84.54   3.848e-34       34.55   6.889e-16       61.77   1.351e-28
       98.01   3.247e-40       38.88   1.531e-17        63.8   2.002e-29
       113.6           0       43.76   1.958e-19       65.82   2.966e-30
       131.8           0       49.24   1.344e-21       67.85   4.398e-31
       152.8           0       55.41   4.573e-24       69.87   6.528e-32
       177.1           0       62.35   7.059e-27        71.9   9.698e-33
       205.3   1.401e-45       70.17   4.461e-30       73.92   1.443e-33
       238.1   1.401e-45       78.97   1.026e-33       75.95    2.15e-34
         276   2.803e-45       88.86   7.467e-38       77.97   3.207e-35
         320           0         100           0          80           0
  0.260380
           1           0           1           0           1           0
       1.159   2.211e-05       1.125   6.042e-08       3.026   1.291e-07
       1.344    3.45e-05       1.266   8.048e-08       5.051   8.711e-08
       1.559   5.316e-05       1.425   1.058e-07       7.077   3.654e-08
       1.807   8.051e-05       1.604   1.373e-07       9.103   1.291e-08
       2.095   0.0001192       1.805   1.756e-07       11.13   4.138e-09
       2.429   0.0001716       2.031   2.213e-07       13.15   1.212e-09
       2.816   0.0002393       2.286   2.742e-07       15.18   3.229e-10
       3.265   0.0003233       2.572    3.33e-07        17.2   7.871e-11
       3.785   0.0004247       2.894   3.952e-07       19.23   1.783e-11
       4.389   0.0005463       3.257    4.56e-07       21.26   3.811e-12
       5.088   0.0006921       3.665   5.086e-07       23.28   7.775e-13
       5.899   0.0008625       4.125   5.448e-07       25.31   1.527e-13
        6.84    0.001042       4.642   5.562e-07       27.33   2.906e-14
        7.93    0.001184       5.223   5.366e-07       29.36   5.385e-15
       9.194      0.0012       5.878   4.845e-07       31.39   9.756e-16
       10.66   0.0009876       6.615   4.053e-07       33.41   1.734e-16
       12.36   0.0005646       7.444   3.105e-07       35.44   3.031e-17
       14.33   0.0001875       8.377   2.151e-07       37.46   5.225e-18
       16.61   3.575e-05       9.427   1.328e-07       39.49   8.898e-19
       19.26   4.312e-06       10.61   7.198e-08       41.51   1.494e-19
       22.33   3.274e-07       11.94   3.365e-08       43.54   2.501e-20
       25.89   1.471e-08       13.43    1.33e-08       45.56   4.158e-21
       30.02   3.625e-10       15.12   4.351e-09       47.59   6.874e-22
        34.8    4.49e-12       17.01    1.15e-09       49.62   1.131e-22
       40.35   2.536e-14       19.15   2.387e-10       51.64   1.856e-23
